Date,Xăng RON 95-V price,Xăng RON 95-III price,Xăng E5 RON 92-II price
12/1/2022,23830,22700,21670
12/12/2022,22330,21200,20340
12/21/2022,21830,20700,19970
1/1/2023,22930,21800,21020
1/3/2023,23280,22150,21350
1/11/2023,23010,22150,21350
1/30/2023,24000,23140,22320
2/13/2023,24670,23760,22860
2/21/2023,24350,23440,22540
3/1/2023,24230,23320,22420
3/13/2023,24740,23810,22800
3/21/2023,23960,23030,22020
4/3/2023,24050,23120,22080
4/11/2023,25140,24240,23170
4/21/2023,24530,23630,22680
5/4/2023,23220,22320,21430
5/11/2023,21780,21000,20130
5/22/2023,22270,21490,20480
6/1/2023,22790,22010,20870
6/12/2023,22890,22010,20870
6/21/2023,22890,22010,20870
7/3/2023,22300,21420,20470
7/11/2023,22090,21490,20410
7/21/2023,23390,22790,21630
8/1/2023,24560,23960,22790
8/11/2023,24420,23990,22820
8/21/2023,25030,24600,23330
9/5/2023,25300,24870,23470
9/11/2023,25400,24870,23470
9/21/2023,26270,25740,24190
10/2/2023,25370,24840,23500
10/11/2023,23680,23040,21900
11/1/2023,24560,23920,22610
11/13/2023,24220,23530,22270
11/23/2023,23710,23020,21690
11/30/2023,23680,22990,21790
12/7/2023,23010,22320,21290
12/14/2023,21960,21400,20510
12/21/2023,22700,22140,21190
12/28/2023,22700,22140,21180
1/4/2024,22470,21910,21000
1/11/2024,22720,21930,21040
1/18/2024,23270,22480,21410
1/25/2024,24190,23400,22170
2/1/2024,24950,24160,22910
2/8/2024,24050,23260,22120
2/15/2024,24420,23910,22830
2/22/2024,24100,23590,22470
2/29/2024,24430,23920,22750
3/7/2024,24060,23550,22510
3/14/2024,23950,23540,22490
3/21/2024,24690,24280,23210
3/28/2024,25220,24810,23620
4/4/2024,25210,24800,23910
4/11/2024,25350,24820,23840
4/17/2024,25760,25230,24220
4/25/2024,25440,24910,23910
5/2/2024,25480,24950,23910
5/9/2024,24070,23540,22620
5/16/2024,23620,23130,22110
5/23/2024,23700,23210,22270
5/30/2024,23000,22510,21750
6/6/2024,22460,21970,21140
6/13/2024,22720,22230,21310
6/20/2024,22950,22460,21500
6/27/2024,23500,23010,22010
7/4/2024,23960,23550,22460
7/11/2024,23820,23290,22280
7/18/2024,23700,23170,22170
7/25/2024,23410,22880,21900
8/1/2024,23130,22600,21610
8/8/2024,22200,21670,20710
8/15/2024,22430,21850,20880
8/22/2024,21890,21310,20420
8/29/2024,21680,21100,20330
9/5/2024,21400,20820,19970
9/12/2024,20170,19630,18890
9/19/2024,20300,19760,18940
9/26/2024,21050,20510,19620
10/3/2024,20340,19800,18850
10/10/2024,21600,21060,19840
10/17/2024,21480,20960,19730
10/24/2024,21410,20890,19690
10/31/2024,21020,20500,19400
11/7/2024,21370,20850,19740
11/14/2024,21160,20600,19450
11/21/2024,21080,20520,19340
11/28/2024,21410,20850,19840
12/5/2024,21120,20560,19860
12/12/2024,21090,20590,19860
12/19/2024,21500,21000,20240
12/26/2024,21040,20540,19810
1/2/2025,21240,20740,20050
1/9/2025,21510,21010,20430
1/16/2025,21810,21220,20750
1/23/2025,21730,21140,20590
2/1/2025,21590,21000,20390
2/6/2025,21510,20920,20440
2/13/2025,21640,21070,20590
2/20/2025,21900,21330,20850
2/27/2025,21680,21110,20650
3/6/2025,20970,20400,19960
3/13/2025,20020,19640,19280
3/20/2025,20460,20080,19690
3/27/2025,20800,20420,20030
4/3/2025,21290,20910,20370
4/10/2025,19580,19200,18880
4/17/2025,19410,18850,18490
4/24/2025,20190,19630,19230
5/5/2025,20140,19580,19150
5/8/2025,19730,19170,18770
5/15/2025,20070,19590,19180
5/22/2025,20010,19530,19120
5/29/2025,20040,19560,19190
6/5/2025,20170,19690,19260
6/12/2025,20420,19960,19460
6/19/2025,21700,21240,20630
6/26/2025,21960,21500,20910
7/1/2025,21570,21110,20530
7/3/2025,20260,19900,19440
7/10/2025,20450,20090,19650
7/17/2025,20250,19920,19480
7/24/2025,20030,19700,19270
7/31/2025,20170,19840,19400
8/7/2025,20530,20070,19600
8/14/2025,20360,19880,19350
8/21/2025,20570,20090,19460
8/28/2025,20840,20360,19770
9/4/2025,20910,20430,19850
9/11/2025,20900,20400,19750
9/18/2025,21100,20600,19980
9/25/2025,20660,20160,19610
10/2/2025,20700,20200,19620
10/9/2025,20220,19720,19130
10/16/2025,20400,19900,19220
10/23/2025,20220,19720,19050
10/30/2025,20980,20480,19760
11/6/2025,20980,20480,19760
11/13/2025,21050,20570,19840
11/20/2025,21020,20540,19800
11/27/2025,21020,20540,19800
12/4/2025,21000,20460,19820
12/11/2025,20620,20080,19610
12/18/2025,20150,19620,19230
12/25/2025,19540,19000,18710
12/31/2025,19710,18910,18430
1/8/2026,19360,18560,18230
1/15/2026,19510,18710,18370
1/22/2026,19430,18630,18280
1/29/2026,19540,18840,18330
2/5/2026,19580,18880,18430
2/12/2026,20090,19290,18830
2/20/2026,19950,19150,18630
2/26/2026,20950,20150,19520
3/5/2026,22940,22340,21440
3/7/2026,27640,27040,25220
3/11/2026,25640,25240,22950
3/12/2026,25970,25570,22500
3/19/2026,31090,30690,27170
3/24/2026,34240,33840,30110
3/25/2026,30350,29950,28070
3/27/2026,24730,24330,23320
4/2/2026,25550,25150,23860
4/3/2026,27370,26970,25420
4/8/2026,27130,26530,24730
4/9/2026,24380,23540,22340
